date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:59	162108/162108	---M-Z	200	added ('OK')	text/html	etag:%222793c-61334e42e83cc-gzip%22	https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/uc-select2.html	(from )
13:12:01	242/242	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202024%2020:12:07%20GMT	https://yashadmin.dexignzone.com/robots.txt		(from )
13:12:01	614/614	---M--	200	added ('OK')	image/png	etag:%22266-5f60c0d41a680%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/favicon.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/favicon.png	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
13:12:03	186718/186718	---M--	200	added ('OK')	image/png	etag:%222d95e-6139f1a3f69ec%22	https://yashadmin.dexignzone.com/tailwind/social-image.png	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/social-image.png	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
13:12:03	89220/89220	---M--	200	added ('OK')	text/css	etag:%2215c84-5d77c6467e400%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/icons/fontawesome/css/all.min.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/icons/fontawesome/css/all.min.css	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
13:12:04	15181/15181	---M--	200	added ('OK')	text/css	etag:%223b4d-58dde996f0800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/select2/css/select2.min.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/select2/css/select2.min.css	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
13:12:04	89729/89729	---M--	200	added ('OK')	text/css	etag:%2215e81-596cbb1055f00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/icons/line-awesome/css/line-awesome.min.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/icons/line-awesome/css/line-awesome.min.css	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
13:12:04	4169/4169	---M--	200	added ('OK')	text/css	etag:%221049-60f9bd16a0e00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/niceselect/css/nice-select.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/niceselect/css/nice-select.css	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
13:12:06	202439/202439	---M-Z	200	added ('OK')	text/html	etag:%22316c7-61334e1f97f9d-gzip%22	https://yashadmin.dexignzone.com/tailwind/demo/index.html	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/index.html	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
13:12:07	72824/72824	---M--	200	added ('OK')	image/gif	etag:%2211c78-5fae254188800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/pre.gif	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/pre.gif	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
13:12:07	328718/328718	---M--	200	added ('OK')	text/css	etag:%225040e-61313ebf0d800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/css/style.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/css/style.css	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
13:12:08	6030/6030	---M--	200	added ('OK')	image/jpeg	etag:%22178e-5c4337b9fce00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/avatar/1.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/avatar/1.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/uc-select2.html)
